Genus,Species,Call,Call_type,Age,Sex,Hierarchy,Context,Environment,Facial_expression,Description,References
Pongo,pygmaeus,Ahor call,Long-distance call,Adult,Male,Both,Agonistic,Wild,Relaxed open mouth,Inhalatory gasp followed by explosive exhalatory grunt,Hardus2009a
Pongo,pygmaeus,Bark,Long-distance call,Adult,Male,Both,Alarm,Wild,Open mouth,Single sharp exhalation,"MacKinnon1974, Hardus2009a"
Pongo,pygmaeus,Bark,Long-distance call,Adult,Male,Both,Agonistic,Wild,Open mouth,Single sharp exhalation,"MacKinnon1974, Hardus2009a"
Pongo,pygmaeus,Complex call,Long-distance call,Adult,Both,Both,Agonistic,Wild,String of rolling guttural noises,Bouts of Grumph alternated by Rolling calls,"MacKinnon1974, Hardus2009a"
Pongo,pygmaeus,Crying,Long-distance call,Immature,Both,Both,Distress,Wild,Wide open mouth with lips protruded,Loud vocalization interspersed with cramped chonking,"MacKinnon1974, Hardus2009a"
Pongo,pygmaeus,Fast long call,Long-distance call,Juvenile,Male,Both,Alarm,Wild,NA,Sequence of Ahoor-like pulses ending with a bubbling sound,"Galdikas_Insley1988, Hardus2009a"
Pongo,pygmaeus,Kiss-squeak,Long-distance call,All,Both,Both,Alarm,Wild,Pursed trumpet-like lips,Sharp intake of air that cause a sharp kiss sound,"Hardus2009a, Lameira2012, Lameira2013a, Lameira2017, Lameira2021"
Pongo,pygmaeus,Long call,Long-distance call,Adult,Male,Both,Alarm,Wild,NA,Composed by three parts: grumbles (1) – pulses (2) – bubbles (3),"MacKinnon1974, Galdikas1983, Mitani1985, MitraSetia2007, Lameira2008, Hardus2009a, Delgado2010, Spillmann2010"
Pongo,pygmaeus,Lork,Long-distance call,Adult,Female,Both,Alarm,Wild,NA,Similar to long call tail-off with noiser pulses,"MacKinnon1974, Hardus2009a"
Pongo,pygmaeus,Roar,Long-distance call,Adult,Female,Both,Agonistic,Wild,NA,Exhalatory roaring,Hardus2009a
Pongo,pygmaeus,Squeak,Long-distance call,Immature,Both,Both,Affiliative,Captive,NA,Sharp rasping emitted in bouts,Hardus2009a
Pongo,pygmaeus,Ahh,Close call,All,Both,Both,Play,Wild,NA,NA,Hardus2009a
Pongo,pygmaeus,Bared-theet scream,Close call,All,Both,Both,Agonistic,Wild,Wide open mouth with teeth and gums exposed,Composed by one or several drawn-out hoarse scream,Hardus2009a
Pongo,pygmaeus,Chomp,Close call,Adult,Male,Both,Agonistic,Wild,Chewing movements with jaws,Bubbling sound produced by the tangue in a party closed mouth,"Rijksen1978, Hardus2009a"
Pongo,pygmaeus,Contact uff,Close call,All,Both,Both,Affiliative,Wild,No facial expression,Short repetitive expulsions of ait through the nose,"Rijksen1978, Hardus2009a"
Pongo,pygmaeus,Fear squeak,Close call,Adult,Female,Both,Copulation,Wild,Single sharp squeak,Single sharp squeak,"MacKinnon1974, Hardus2009a"
Pongo,pygmaeus,Frustration scream,Close call,Immature,Both,Both,Feeding,Wild,NA,Similar to soft hoot with long wails punctuated by short staccato gasps,Hardus2009a
Pongo,pygmaeus,Frustration whine,Close call,Adult,Female,Both,Copulation,Wild,NA,Similar to Frustration Scream with shorter wails and constant tone,Hardus2009a
Pongo,pygmaeus,Gorkum,Close call,All,Both,Both,Alarm,Wild,Swollen throat pouch,Bouts of Grumph alternated by Rolling calls,"MacKinnon1974, Hardus2009a"
Pongo,pygmaeus,Grumble,Close call,Adult,Male,Both,Agonistic,Wild,NA,Atonal quickly repeating vocalization,"Davila-Ross2002, Hardus2009a"
Pongo,pygmaeus,Grumble,Close call,Adult,Male,Both,Copulation,Wild,NA,Atonal quickly repeating vocalization,"Davila-Ross2002, Hardus2009a"
Pongo,pygmaeus,Grumph,Close call,All,Both,Both,Alarm,Wild,NA,Inhalatory belch-like vocalization,"Hardus2009a, Lameira2012, Lameira2017, Lameira2021"
Pongo,pygmaeus,Grunt,Close call,Adult,Both,Subordinate,Play,Wild,NA,Soft and low rasping sound,Hardus2009a
Pongo,pygmaeus,Mating squeals,Close call,Adult,Female,Both,Copulation,Wild,NA,Exhalatory queaky vocalization,"MacKinnon1974, Hardus2009"
Pongo,pygmaeus,Nestsmacks,Close call,All,Both,Both,Play,Wild,NA,Soft smack,Hardus2009a
Pongo,pygmaeus,Nestsmacks,Close call,All,Both,Both,Nesting,Wild,NA,Soft smack,Hardus2009a
Pongo,pygmaeus,Play hoo,Close call,Immature,Both,Both,Play,Wild,NA,Resemble an owl oe-oe call with faster tempo,Hardus2009a
Pongo,pygmaeus,Raspberry,Close call,All,Both,Both,Nesting,Wild,Protruded lips,Faint exhalatory sputtering sound,"MacKinnon1974, Hardus2009"
Pongo,pygmaeus,Rolling call,Close call,Adult,Both,Both,Alarm,Wild,NA,Composed by several low frequency units which resemble the ones of grumbles,Hardus2009a
Pongo,pygmaeus,Soft hoot,Close call,Immature,Both,Both,Distress,Wild,NA,Exhalatory nagging vocalization,Hardus2009a
Pongo,pygmaeus,Throatscrape,Close call,Adult,Both,Subordinate,Affiliative,Wild,NA,Soft scraping sound,"Rijksen1978, Hardus2009a"
Pongo,pygmaeus,Whine,Close call,All,Female,Both,Copulation,Captive,NA,Vocalization similar to soft hoot interspersed with choking of air,Hardus2009a
Pongo,pygmaeus,Click,Close call,All,Both,Both,Unknown,Captive,Moving the tongue,Indipendent manoeuvring over lips and tangue,Lameira2015
Pongo,pygmaeus,Faux-speech,Close call,All,Both,Both,Unknown,Captive,Supralaryngeal,Involves vocal folds action and supralaryngeal modulation,Lameira2015
Pongo,pygmaeus,Whistling,Long-distance call,All,Both,Both,Unknown,Captive,NA,NA,Lameira2013
Pongo,abelii,Ahor call,Long-distance call,Adult,Male,Both,Agonistic,Wild,Relaxed open mouth,Inhalatory gasp followed by explosive exhalatory grunt,Hardus2009a
Pongo,abelii,Bark,Long-distance call,Adult,Male,Both,Alarm,Wild,Open mouth,Single sharp exhalation,Hardus2009a
Pongo,abelii,Bark,Long-distance call,Adult,Male,Both,Agonistic,Wild,Open mouth,Single sharp exhalation,Hardus2009a
Pongo,abelii,Complex call,Long-distance call,Adult,Both,Both,Agonistic,Wild,String of rolling guttural noises,Bouts of Grumph alternated by Rolling calls,Hardus2009a
Pongo,abelii,Crying,Long-distance call,Immature,Both,Both,Distress,Wild,Wide open mouth with lips protruded,Loud vocalization interspersed with cramped chonking,Hardus2009a
Pongo,abelii,Fast long call,Long-distance call,Juvenile,Male,Both,Alarm,Wild,NA,Sequence of Ahoor-like pulses ending with a bubbling sound,Hardus2009a
Pongo,abelii,Kiss-squeak,Long-distance call,All,Both,Both,Alarm,Wild,Pursed trumpet-like lips,Sharp intake of air that cause a sharp kiss sound,"Hardus2009a, Lameira2012, Lameira2013a, Lameira2021"
Pongo,abelii,Long call,Long-distance call,Adult,Male,Both,Alarm,Wild,NA,Composed by three parts: grumbles (1) – pulses (2) – bubbles (3),"Hardus2009a, Delgado2010"
Pongo,abelii,Lork,Long-distance call,Adult,Female,Both,Alarm,Wild,NA,Similar to long call tail-off with noiser pulses,Hardus2009a
Pongo,abelii,Roar,Long-distance call,Adult,Female,Both,Agonistic,Wild,NA,Exhalatory roaring,Hardus2009a
Pongo,abelii,Squeak,Long-distance call,Immature,Both,Both,Affiliative,Captive,NA,Sharp rasping emitted in bouts,Hardus2009a
Pongo,abelii,Ahh,Close call,All,Both,Both,Play,Wild,NA,NA,Hardus2009a
Pongo,abelii,Bared-theet scream,Close call,All,Both,Both,Agonistic,Wild,Wide open mouth with teeth and gums exposed,Composed by one or several drawn-out hoarse scream,Hardus2009a
Pongo,abelii,Chomp,Close call,Adult,Male,Both,Agonistic,Wild,Chewing movements with jaws,Bubbling sound produced by the tangue in a party closed mouth,Hardus2009a
Pongo,abelii,Contact uff,Close call,All,Both,Both,Affiliative,Wild,No facial expression,Short repetitive expulsions of ait through the nose,Hardus2009a
Pongo,abelii,Fear squeak,Close call,Adult,Female,Both,Copulation,Wild,Single sharp squeak,Single sharp squeak,Hardus2009a
Pongo,abelii,Frustration scream,Close call,Immature,Both,Both,Feeding,Wild,NA,Similar to soft hoot with long wails punctuated by short staccato gasps,Hardus2009a
Pongo,abelii,Frustration whine,Close call,Adult,Female,Both,Copulation,Wild,NA,Similar to Frustration Scream with shorter wails and constant tone,Hardus2009a
Pongo,abelii,Gorkum,Close call,All,Both,Both,Alarm,Wild,Swollen throat pouch,Bouts of Grumph alternated by Rolling calls,Hardus2009a
Pongo,abelii,Grinding,Close call,All,Both,Both,Distress,Captive,Teeth grinding,Loud grinding of the teeth,Rijksen1978
Pongo,abelii,Grumble,Close call,Adult,Male,Both,Agonistic,Wild,NA,Atonal quickly repeating vocalization,Davila-Ross2002
Pongo,abelii,Grumble,Close call,Adult,Male,Both,Copulation,Wild,NA,Atonal quickly repeating vocalization,Davila-Ross2002
Pongo,abelii,Grumph,Close call,All,Both,Both,Alarm,Wild,NA,Inhalatory belch-like vocalization,"Hardus2009a, Lameira2012, Lameira2017, Lameira2021"
Pongo,abelii,Grunt,Close call,Adult,Both,Subordinate,Play,Wild,NA,Soft and low rasping sound,Hardus2009a
Pongo,abelii,Mating squeals,Close call,Adult,Female,Both,Copulation,Wild,NA,Exhalatory queaky vocalization,Hardus2009a
Pongo,abelii,Play hoo,Close call,Immature,Both,Both,Play,Wild,NA,Resemble an owl oe-oe call with faster tempo,Hardus2009a
Pongo,abelii,Raspberry,Close call,All,Both,Both,Nesting,Wild,Protruded lips,Faint exhalatory sputtering sound,Hardus2009a
Pongo,abelii,Rolling call,Close call,Adult,Both,Both,Alarm,Wild,NA,Composed by several low frequency units which resemble the ones of grumbles,Hardus2009a
Pongo,abelii,Soft hoot,Close call,Immature,Both,Both,Distress,Wild,NA,Exhalatory nagging vocalization,Hardus2009a
Pongo,abelii,Whine,Close call,All,Female,Both,Copulation,Captive,NA,Vocalization similar to soft hoot interspersed with choking of air,Hardus2009a
Pongo,abelii,Whistling,Long-distance call,All,Both,Both,Unknown,Captive,NA,NA,Lameira2013
Gorilla,beringei,Bark (Hiccup + question + hoot barks),Long-distance call,Adult,Both,Both,Alarm,Wild,NA,Lump category that includes all the bark like vocalization (Hiccup – Question – Hoot) that resemble a “who-who” sound,Fossey1972
Gorilla,beringei,Bark (hoot barks),Long-distance call,All,Both,Both,Affiliative,Wild,NA,Lump category that includes all the bark like vocalization (Hiccup – Question – Hoot) that resemble a “who-who” sound,Fossey1972
